wave,blue
1069,0.157174564
1070,0.157704562
1071,0.158230283
1072,0.158751808
1073,0.159269213
1074,0.159782574
1075,0.160291964
1076,0.160797453
1077,0.161299112
1078,0.161797006
1079,0.162291201
1080,0.162781761
1081,0.163268747
1082,0.16375222
1083,0.164232238
1084,0.164708858
1085,0.165182136
1086,0.165652125
1087,0.16611888
1088,0.166582451
1089,0.167042888
1090,0.167500241
1091,0.167954556
1092,0.168405882
1093,0.168854263
1094,0.169299744
1095,0.169742369
1096,0.170182178
1097,0.170619215
1098,0.17105352
1099,0.171485131
1100,0.171914088
1101,0.175201907
1102,0.178344143
1103,0.181355002
1104,0.184246629
1105,0.18702949
1106,0.189712678
1107,0.192304145
1108,0.194810889
1109,0.197239105
1110,0.199594302
1111,0.201881409
1112,0.204104848
1113,0.206268607
1114,0.208376295
1115,0.21043119
1116,0.212436278
1117,0.214394288
1118,0.216307721
1119,0.218178875
1120,0.220009869
1121,0.221802657
1122,0.223559049
1123,0.225280725
1124,0.226969243
1125,0.228626058
1126,0.230252524
1127,0.231849907
1128,0.233419393
1129,0.234962093
1130,0.236479049
1131,0.237971243
1132,0.239439597
1133,0.240884982
1134,0.242308218
1135,0.243710083
1136,0.24509131
1137,0.246452594
1138,0.247794595
1139,0.249117938
1140,0.250423217
1141,0.251710998
1142,0.252981819
1143,0.254236191
1144,0.255474603
1145,0.25669752
1146,0.257905389
1147,0.259098633
1148,0.26027766
1149,0.261442858
1150,0.262594601
1151,0.263179537
1152,0.263761082
1153,0.264339282
1154,0.264914181
1155,0.265485823
1156,0.26605425
1157,0.266619504
1158,0.267181627
1159,0.267740658
1160,0.268296637
1161,0.268849603
1162,0.269399593
1163,0.269946645
1164,0.270490794
1165,0.271032077
1166,0.271570529
1167,0.272106183
1168,0.272639074
1169,0.273169234
1170,0.273696697
1171,0.274221493
1172,0.274743654
1173,0.275263211
1174,0.275780193
1175,0.276294631
1176,0.276806554
1177,0.277315989
1178,0.277822965
1179,0.27832751
1180,0.27882965
1181,0.279329412
1182,0.279826822
1183,0.280321906
1184,0.28081469
1185,0.281305197
1186,0.281793452
1187,0.282279479
